x,y,z
36.65296294950851,4.364125224914005,a
54.02152961887431,50.00571201734249,a
83.19194583456319,52.2939567033813,a
38.959733044997805,99.84620050297411,a
83.50248337219332,99.85087579021189,a
78.85489190300332,122.04631029253352,a
133.4984191826319,94.45396347008534,a
156.1766229069016,133.83359322466288,a
133.7627675398204,116.37189580602075,a
229.01744794137852,157.10635230761125,a
248.81334078371145,190.45266767400466,a
296.4903893622661,179.60161311333655,a
346.72708112987584,215.2472421805145,a
316.7917711100961,257.5899582055314,a
427.4891241185426,301.7456093452456,a
369.65644056596074,319.97506595485333,a
407.24661543380194,342.38802371251467,a
462.50129386626577,317.8012099909987,a
479.8429646170236,401.075175999752,a
458.91663672523964,344.35454813533966,a
518.5241469194922,450.713844383725,a
581.715910654528,427.5401736959254,a
623.5122108924684,441.5618937997469,a
638.6608898501123,453.5491101982765,a
641.8230785400514,496.92211411542206,a
710.3149166526798,478.8870429127393,a
689.8833671168413,510.071209847202,a
15.724785299198684,30.70908781251171,a
53.276205433602975,32.61638805225198,a
43.084584015250755,57.644907443747115,a
12.931774361399842,57.18341342200489,a
88.8684627487183,70.1241553738243,a
56.61174467867674,72.65048271600796,a
114.62461469674875,63.544738453656294,a
123.23767890802343,95.03467914075912,a
219.85629133999734,123.20970863976004,a
253.03509396184347,186.31414141077875,a
300.7640691377587,179.3083445130015,a
302.5872035590249,224.9048005669449,a
362.52012236621204,303.7083545525577,a
430.7622345161819,283.38776752491674,a
455.880493386571,305.9901346196182,a
551.8473483843254,358.6532237370538,a
570.4658501209358,309.1422340022177,a
571.8875220600105,388.59942281506216,a
621.5239184122147,430.8180903391839,a
619.5268928459105,423.5371846872319,a
700.8739528249262,496.50242080830253,a
718.9240409477485,434.6992239189894,a
31.11387792948682,79.39315273219358,a
-8.112696201292614,23.398891717198012,a
16.73066152411893,64.00756090295869,a
91.99413563580282,69.0120392898242,a
90.65347818701946,59.95638281968718,a
132.3721583121635,75.74100507112018,a
140.31521941964934,74.48052899813848,a
132.49476182907026,98.69292698024856,a
196.69493037173726,100.06447441816977,a
227.69630369122532,155.46800588143992,a
230.77171745280438,150.3150431057743,a
306.3264331736766,208.61412828760115,a
356.66513229976886,228.5604345625361,a
373.6830271079434,292.170294887744,a
472.2671443072258,323.3159313248018,a
460.287023368396,314.8411127322285,a
574.062114666719,385.7779796309671,a
571.7383476941375,473.93350303087385,a
640.6021393809793,510.7949914080795,a
1.7398832277678373,28.95823632296026,a
47.674824031874735,75.38549762858446,a
19.69625064421804,22.234731634479033,a
18.5380285173937,26.108563898012335,a
60.59747405842586,42.66491291899325,a
4.653218240395219,51.51035720682188,a
97.86332937437454,127.03031300531745,a
140.04269818054425,124.60858258998115,a
120.2142701319607,174.4920085353342,a
203.03680649421386,209.76671191898384,a
303.06789032034095,244.80811878143027,a
317.2705392037133,235.94286550231766,a
366.5973029264982,213.33789737293057,a
364.8478935964815,306.2419195316528,a
411.7993388561423,319.68896440893866,a
442.0743804665088,328.94148157634675,a
481.51732939761706,349.89251680715836,a
508.4083604584008,401.99572070960704,a
532.0392592674527,405.81372795192664,a
562.2222953375492,446.376957775908,a
659.1984220926923,407.51729938686447,a
618.8991132416929,471.50997607915804,a
662.6988301414963,467.9917720764406,a
630.1728555194364,479.9026736229128,a
689.9830748995657,509.42692025645397,a
735.4616876863757,469.5860793513176,a
731.4770352082917,493.4910606658113,a
746.6618894347704,444.6960012083983,a
126.43102805103892,160.2819591193752,a
125.88462883589521,94.84732389757045,a
155.28650866196818,95.43096712792436,a
236.7228535092313,138.07244091825567,a
228.6460963094742,171.54265360914724,a
283.5035526620145,257.51826227744255,a
345.89871055934134,303.95059684901025,a
358.41614046481294,326.0669574452767,a
409.4906654116473,333.0074474097526,a
447.35526961753584,444.4062365980309,a
525.027973891534,467.7728145148228,a
600.860585037612,474.8287416644552,a
148.15365040269822,75.78961365006978,a
131.64729091899983,41.16523159061484,a
156.62636284231036,58.28027937821042,a
124.5240077726687,47.00708630263597,a
164.5919796010579,96.95853935586086,a
149.1428575063358,18.687724459318588,a
165.38959676001497,148.6405198879516,a
197.437476686551,142.68372895497373,a
235.828476175019,132.1601655267434,a
237.00846224808205,175.1498844087543,a
326.0484252722897,203.680329516153,a
360.00723154912794,190.62360444403947,a
351.65517565279947,188.5833385170872,a
382.3497044801431,237.26423234873744,a
476.42046095878914,282.03193520902414,a
494.6721685326581,342.67539392330013,a
537.3379961485799,353.0861990639395,a
491.4036064210216,387.01564218939166,a
522.4381303889187,376.85461977976587,a
531.8972054735931,428.7049732481079,a
563.4060590679012,409.82335080294325,a
594.0011541903376,436.2359819016892,a
551.0158209438923,389.6189978844084,a
568.1617460955455,391.19964184734886,a
506.1699744259895,377.0317125456881,a
504.26865686874237,340.8883796339702,a
515.6249125250092,297.705675889267,a
403.89526925528656,281.3373407836923,a
354.2874089000234,203.85274938704538,a
354.8715758372372,170.55327768872422,a
247.66561729029337,151.23755423904169,a
145.63663411617836,109.86493404637861,a
126.63770595052355,54.24178294346211,a
42.98443762700157,-21.02090335311209,a
62.382685629250126,6.2659202004642225,a
41.983626574628694,13.98569802763717,a
75.79955120079865,40.555892812423565,a
65.55539687800005,-2.6133340707592083,a
12.261133614304832,63.21736891300327,a
17.354849915752283,85.15065120387169,a
41.9791855914339,80.40160116780169,a
108.30125967165216,29.452790167256012,a
103.80912408705014,98.82082344454358,a
172.9602486955019,111.96311551490561,a
147.9362843631647,125.75457031064803,a
194.2384648000784,161.88165787956797,a
252.75155971411937,172.3421484447785,a
288.4948415385596,231.85011684785235,a
337.9966144992605,248.76036088225092,a
334.10373253159634,283.55586269917444,a
416.67215395103256,371.65066120377037,a
474.5495626329383,373.76912962404236,a
500.14532617007836,376.67692900545524,a
615.3251187984284,485.7655803718533,a
643.5222403497626,493.3057317229003,a
